ddeg,total,stage,ddeg_cent
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,5,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
442,81,6,70.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,5,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,6,146.981679389313
518,76,7,146.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,6,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
609,40,7,237.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
685,42,7,313.981679389313
